コード?image,銘柄名,市場区分?image,業種分類?image,決算期?image,,注意情報等,基本情報,株価表示
31050,日清紡ホールディングス,プライム,電気機器,12月,,,,株価表示
40620,イビデン,プライム,電気機器,3月,,,,株価表示
49020,コニカミノルタ,プライム,電気機器,3月,,,,株価表示
64480,ブラザー工業,プライム,電気機器,3月,,,,株価表示
64790,ミネベアミツミ,プライム,電気機器,3月,,,,株価表示
65010,日立製作所,プライム,電気機器,3月,,,,株価表示
65030,三菱電機,プライム,電気機器,3月,,,,株価表示
65040,富士電機,プライム,電気機器,3月,,,,株価表示
65060,安川電機,プライム,電気機器,2月,,,,株価表示
65070,シンフォニアテクノロジー,プライム,電気機器,3月,,,,株価表示
65080,明電舎,プライム,電気機器,3月,,,,株価表示
65160,山洋電気,プライム,電気機器,3月,,,,株価表示
65170,デンヨー,プライム,電気機器,3月,,,,株価表示
65230,ＰＨＣホールディングス,プライム,電気機器,3月,,,,株価表示
65250,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム,電気機器,3月,,,,株価表示
65260,ソシオネクスト,プライム,電気機器,3月,,,,株価表示
65880,東芝テック,プライム,電気機器,3月,,,,株価表示
65900,芝浦メカトロニクス,プライム,電気機器,3月,,,,株価表示
65920,マブチモーター,プライム,電気機器,12月,,,,株価表示
65940,ニデック,プライム,電気機器,3月,,,,株価表示
66150,ユー・エム・シー・エレクトロニクス,プライム,電気機器,3月,,,,株価表示
66160,トレックス・セミコンダクター,プライム,電気機器,3月,,,,株価表示
66170,東光高岳,プライム,電気機器,3月,,,,株価表示
66190,ダブル・スコープ,プライム,電気機器,1月,,,,株価表示
66220,ダイヘン,プライム,電気機器,3月,,,,株価表示
66300,ヤーマン,プライム,電気機器,4月,,,,株価表示
66320,ＪＶＣケンウッド,プライム,電気機器,3月,,,,株価表示
66380,ミマキエンジニアリング,プライム,電気機器,3月,,,,株価表示
66400,Ｉ−ＰＥＸ,プライム,電気機器,12月,,,,株価表示
66440,大崎電気工業,プライム,電気機器,3月,,,,株価表示
66450,オムロン,プライム,電気機器,3月,,,,株価表示
66510,日東工業,プライム,電気機器,3月,,,,株価表示
66520,ＩＤＥＣ,プライム,電気機器,3月,,,,株価表示
66530,正興電機製作所,プライム,電気機器,12月,,,,株価表示
66740,ジーエス・ユアサ　コーポレーション,プライム,電気機器,3月,,,,株価表示
66990,ダイヤモンドエレクトリックホールディングス,プライム,電気機器,3月,,,,株価表示
67010,日本電気,プライム,電気機器,3月,,,,株価表示
67020,富士通,プライム,電気機器,3月,,,,株価表示
67030,沖電気工業,プライム,電気機器,3月,,,,株価表示
67060,電気興業,プライム,電気機器,3月,,,,株価表示
67070,サンケン電気,プライム,電気機器,3月,,,,株価表示
67180,アイホン,プライム,電気機器,3月,,,,株価表示
67230,ルネサスエレクトロニクス,プライム,電気機器,12月,,,,株価表示
67240,セイコーエプソン,プライム,電気機器,3月,,,,株価表示
67270,ワコム,プライム,電気機器,3月,,,,株価表示
67280,アルバック,プライム,電気機器,6月,,,,株価表示
67370,ＥＩＺＯ,プライム,電気機器,3月,,,,株価表示
67400,ジャパンディスプレイ,プライム,電気機器,3月,,,,株価表示
67410,日本信号,プライム,電気機器,3月,,,,株価表示
67420,京三製作所,プライム,電気機器,3月,,,,株価表示
67440,能美防災,プライム,電気機器,3月,,,,株価表示
67450,ホーチキ,プライム,電気機器,3月,,,,株価表示
67500,エレコム,プライム,電気機器,3月,,,,株価表示
67520,パナソニック　ホールディングス,プライム,電気機器,3月,,,,株価表示
67530,シャープ,プライム,電気機器,3月,,,,株価表示
67540,アンリツ,プライム,電気機器,3月,,,,株価表示
67550,富士通ゼネラル,プライム,電気機器,3月,,,,株価表示
67580,ソニーグループ,プライム,電気機器,3月,,,,株価表示
67620,ＴＤＫ,プライム,電気機器,3月,,,,株価表示
67630,帝国通信工業,プライム,電気機器,3月,,,,株価表示
67680,タムラ製作所,プライム,電気機器,3月,,,,株価表示
67700,アルプスアルパイン,プライム,電気機器,3月,,,,株価表示
67790,日本電波工業,プライム,電気機器,3月,,,,株価表示
67850,鈴木,プライム,電気機器,6月,,,,株価表示
67870,メイコー,プライム,電気機器,3月,,,,株価表示
67880,日本トリム,プライム,電気機器,3月,,,,株価表示
67940,フォスター電機,プライム,電気機器,3月,,,,株価表示
67980,ＳＭＫ,プライム,電気機器,3月,,,,株価表示
68000,ヨコオ,プライム,電気機器,3月,,,,株価表示
68040,ホシデン,プライム,電気機器,3月,,,,株価表示
68060,ヒロセ電機,プライム,電気機器,3月,,,,株価表示
68070,日本航空電子工業,プライム,電気機器,3月,,,,株価表示
68090,ＴＯＡ,プライム,電気機器,3月,,,,株価表示
68100,マクセル,プライム,電気機器,3月,,,,株価表示
68140,古野電気,プライム,電気機器,2月,,,,株価表示
68170,スミダコーポレーション,プライム,電気機器,12月,,,,株価表示
68200,アイコム,プライム,電気機器,3月,,,,株価表示
68230,リオン,プライム,電気機器,3月,,,,株価表示
68410,横河電機,プライム,電気機器,3月,,,,株価表示
68440,新電元工業,プライム,電気機器,3月,,,,株価表示
68450,アズビル,プライム,電気機器,3月,,,,株価表示
68490,日本光電工業,プライム,電気機器,3月,,,,株価表示
68500,チノー,プライム,電気機器,3月,,,,株価表示
68560,堀場製作所,プライム,電気機器,12月,,,,株価表示
68570,アドバンテスト,プライム,電気機器,3月,,,,株価表示
68590,エスペック,プライム,電気機器,3月,,,,株価表示
68610,キーエンス,プライム,電気機器,3月,,,,株価表示
68660,日置電機,プライム,電気機器,12月,,,,株価表示
68690,シスメックス,プライム,電気機器,3月,,,,株価表示
68710,日本マイクロニクス,プライム,電気機器,12月,,,,株価表示
68750,メガチップス,プライム,電気機器,3月,,,,株価表示
69050,コーセル,プライム,電気機器,5月,,,,株価表示
69080,イリソ電子工業,プライム,電気機器,3月,,,,株価表示
69140,オプテックスグループ,プライム,電気機器,12月,,,,株価表示
69200,レーザーテック,プライム,電気機器,6月,,,,株価表示
69230,スタンレー電気,プライム,電気機器,3月,,,,株価表示
69250,ウシオ電機,プライム,電気機器,3月,,,,株価表示
69280,エノモト,プライム,電気機器,3月,,,,株価表示
69290,日本セラミック,プライム,電気機器,12月,,,,株価表示
69370,古河電池,プライム,電気機器,3月,,,,株価表示
69410,山一電機,プライム,電気機器,3月,,,,株価表示
69470,図研,プライム,電気機器,3月,,,,株価表示
69510,日本電子,プライム,電気機器,3月,,,,株価表示
69520,カシオ計算機,プライム,電気機器,3月,,,,株価表示
69540,ファナック,プライム,電気機器,3月,,,,株価表示
69580,日本シイエムケイ,プライム,電気機器,3月,,,,株価表示
69610,エンプラス,プライム,電気機器,3月,,,,株価表示
69620,大真空,プライム,電気機器,3月,,,,株価表示
69630,ローム,プライム,電気機器,3月,,,,株価表示
69650,浜松ホトニクス,プライム,電気機器,9月,,,,株価表示
69660,三井ハイテック,プライム,電気機器,1月,,,,株価表示
69670,新光電気工業,プライム,電気機器,3月,,,,株価表示
69710,京セラ,プライム,電気機器,3月,,,,株価表示
69760,太陽誘電,プライム,電気機器,3月,,,,株価表示
69810,村田製作所,プライム,電気機器,3月,,,,株価表示
69860,双葉電子工業,プライム,電気機器,3月,,,,株価表示
69960,ニチコン,プライム,電気機器,3月,,,,株価表示
69970,日本ケミコン,プライム,電気機器,3月,,,,株価表示
69990,ＫＯＡ,プライム,電気機器,3月,,,,株価表示
72440,市光工業,プライム,電気機器,12月,,,,株価表示
72760,小糸製作所,プライム,電気機器,3月,,,,株価表示
72800,ミツバ,プライム,電気機器,3月,,,,株価表示
77350,ＳＣＲＥＥＮホールディングス,プライム,電気機器,3月,,,,株価表示
77390,キヤノン電子,プライム,電気機器,12月,,,,株価表示
77510,キヤノン,プライム,電気機器,12月,,,,株価表示
77520,リコー,プライム,電気機器,3月,,,,株価表示
79650,象印マホービン,プライム,電気機器,11月,,,,株価表示
80350,東京エレクトロン,プライム,電気機器,3月,,,,株価表示
98800,イノテック,プライム,電気機器,3月,,,,株価表示
